date,total_visits,total_devices,total_visits_per_device,mean_7,year,julian_day
2019-02-03,9167,19500441,0.000470091932792699,0.000639281067391564,2019,34
2019-02-04,10992,19852959,0.000553670614037938,0.00062662889188681,2019,35
2019-02-05,11955,19993378,0.000597947980576369,0.000622419256112765,2019,36
2019-02-06,12009,19802392,0.000606441888434488,0.000616823569209368,2019,37
2019-02-07,12562,19935204,0.000630141532537114,0.000604498572785789,2019,38
2019-02-08,14119,19478833,0.00072483808449921,0.000610420037499462,2019,39
2019-02-09,13196,19356390,0.000681738691977171,0.000609267246407856,2019,40
2019-02-10,9199,19060371,0.000482624393827381,0.000611057597984239,2019,41
2019-02-11,11472,19727959,0.000581509724346041,0.000615034613742539,2019,42
2019-02-12,13071,20276575,0.000644635496872623,0.000621704258927718,2019,43
2019-02-13,13619,19968096,0.000682037986996857,0.000632503701579485,2019,44
2019-02-14,15488,19433191,0.000796986969355676,0.000656338763982137,2019,45
2019-02-15,15568,19308071,0.000806294942669312,0.000667975458006437,2019,46
2019-02-16,15240,19019550,0.000801280787400333,0.000685052900209746,2019,47
2019-02-17,10623,18595436,0.000571269208207864,0.000697716445121244,2019,48
2019-02-18,13113,19829267,0.000661295246062298,0.000709114376794995,2019,49
2019-02-19,14450,20421749,0.000707578963976102,0.00071810630066692,2019,50
2019-02-20,14240,20644802,0.000689762004014376,0.000719209731669423,2019,51
2019-02-21,15146,19989657,0.000757691840335229,0.000713596141809359,2019,52
2019-02-22,17399,19959848,0.00087170002497013,0.00072293972499519,2019,53
2019-02-23,16015,19575339,0.000818121208526708,0.000725345499441815,2019,54
2019-02-24,11326,19191891,0.000590145077418374,0.000728042052186174,2019,55
2019-02-25,13810,19696062,0.000701155388320772,0.000733736358223099,2019,56
2019-02-26,14104,19669845,0.000717036661956411,0.000735087457934571,2019,57
2019-02-27,14721,19689211,0.000747668355019406,0.000743359793792433,2019,58
2019-02-28,12292,19146957,0.000641981908665696,0.000726829803553928,2019,59
