"date","year","month","trade.flow","prod.form","value"
2019-01-01,"2019",1,"export",NA,3491532
2019-01-01,"2019",1,"import","Dried, salted, etc.",19236381
2019-01-01,"2019",1,"import","Frozen",932020471
2019-01-01,"2019",1,"import","Live, Fresh or chilled",399524374
2019-01-01,"2019",1,"import",NA,23798648
2019-02-01,"2019",2,"export","Dried, salted, etc.",2983230
2019-02-01,"2019",2,"export","Frozen",253359417
2019-02-01,"2019",2,"export","Live, Fresh or chilled",81910844
2019-02-01,"2019",2,"export",NA,2086337
2019-02-01,"2019",2,"import","Dried, salted, etc.",21163013
2019-02-01,"2019",2,"import","Frozen",764397172
2019-02-01,"2019",2,"import","Live, Fresh or chilled",382272484
2019-02-01,"2019",2,"import",NA,18138533
2019-03-01,"2019",3,"export","Dried, salted, etc.",3011821
2019-03-01,"2019",3,"export","Frozen",457407153
2019-03-01,"2019",3,"export","Live, Fresh or chilled",70795753
2019-03-01,"2019",3,"export",NA,2357626
2019-03-01,"2019",3,"import","Dried, salted, etc.",23476819
2019-03-01,"2019",3,"import","Frozen",806864211
2019-03-01,"2019",3,"import","Live, Fresh or chilled",468524455
2019-03-01,"2019",3,"import",NA,16893742
2019-04-01,"2019",4,"export","Dried, salted, etc.",2625193
2019-04-01,"2019",4,"export","Frozen",287460137
2019-04-01,"2019",4,"export","Live, Fresh or chilled",80627711
2019-04-01,"2019",4,"export",NA,1530936
2019-04-01,"2019",4,"import","Dried, salted, etc.",26334473
2019-04-01,"2019",4,"import","Frozen",811280181
2019-04-01,"2019",4,"import","Live, Fresh or chilled",430018782
2019-04-01,"2019",4,"import",NA,19739710
2019-05-01,"2019",5,"export","Dried, salted, etc.",4404983
2019-05-01,"2019",5,"export","Frozen",195955936
2019-05-01,"2019",5,"export","Live, Fresh or chilled",72947355
2019-05-01,"2019",5,"export",NA,2571784
2019-05-01,"2019",5,"import","Dried, salted, etc.",24840870
2019-05-01,"2019",5,"import","Frozen",1142455687
2019-05-01,"2019",5,"import","Live, Fresh or chilled",486164597
2019-05-01,"2019",5,"import",NA,23675158
2019-06-01,"2019",6,"export","Dried, salted, etc.",1916319
2019-06-01,"2019",6,"export","Frozen",184739369
2019-06-01,"2019",6,"export","Live, Fresh or chilled",74935575
2019-06-01,"2019",6,"export",NA,3741133
2019-06-01,"2019",6,"import","Dried, salted, etc.",21697354
2019-06-01,"2019",6,"import","Frozen",1068687497
2019-06-01,"2019",6,"import","Live, Fresh or chilled",473822488
2019-06-01,"2019",6,"import",NA,24092486
2019-07-01,"2019",7,"export","Dried, salted, etc.",3872911
2019-07-01,"2019",7,"export","Frozen",384825725
2019-07-01,"2019",7,"export","Live, Fresh or chilled",87767322
2019-07-01,"2019",7,"export",NA,4547813
