Region,seafood restaurant,seafood recipe,seafood delivery,sushi take out,bbq restaurant,category,date_range,year,country
Louisiana,76%,14%,2%,1%,7%,food & drink,(1/1/18 - 5/15/18),2018,usa
South Carolina,74%,10%,2%,<1%,14%,food & drink,(1/1/18 - 5/15/18),2018,usa
Hawaii,68%,10%,1%,1%,20%,food & drink,(1/1/18 - 5/15/18),2018,usa
Florida,73%,10%,2%,1%,14%,food & drink,(1/1/18 - 5/15/18),2018,usa
North Carolina,73%,8%,1%,<1%,18%,food & drink,(1/1/18 - 5/15/18),2018,usa
Maryland,68%,17%,4%,<1%,11%,food & drink,(1/1/18 - 5/15/18),2018,usa
Delaware,72%,14%,2%,,12%,food & drink,(1/1/18 - 5/15/18),2018,usa
Georgia,67%,13%,2%,<1%,18%,food & drink,(1/1/18 - 5/15/18),2018,usa
Mississippi,67%,15%,3%,,15%,food & drink,(1/1/18 - 5/15/18),2018,usa
District of Columbia,67%,14%,3%,,16%,food & drink,(1/1/18 - 5/15/18),2018,usa
Virginia,64%,16%,1%,2%,17%,food & drink,(1/1/18 - 5/15/18),2018,usa
Massachusetts,66%,15%,4%,1%,14%,food & drink,(1/1/18 - 5/15/18),2018,usa
Alabama,61%,12%,2%,,25%,food & drink,(1/1/18 - 5/15/18),2018,usa
Rhode Island,65%,18%,7%,,10%,food & drink,(1/1/18 - 5/15/18),2018,usa
New York,59%,15%,2%,2%,22%,food & drink,(1/1/18 - 5/15/18),2018,usa
Texas,60%,13%,2%,<1%,25%,food & drink,(1/1/18 - 5/15/18),2018,usa
California,62%,10%,1%,1%,26%,food & drink,(1/1/18 - 5/15/18),2018,usa
Connecticut,70%,12%,2%,2%,14%,food & drink,(1/1/18 - 5/15/18),2018,usa
New Jersey,61%,14%,3%,1%,21%,food & drink,(1/1/18 - 5/15/18),2018,usa
Washington,61%,16%,1%,1%,21%,food & drink,(1/1/18 - 5/15/18),2018,usa
Oregon,63%,16%,2%,1%,18%,food & drink,(1/1/18 - 5/15/18),2018,usa
Nevada,53%,13%,4%,2%,28%,food & drink,(1/1/18 - 5/15/18),2018,usa
New Hampshire,57%,18%,6%,,19%,food & drink,(1/1/18 - 5/15/18),2018,usa
Pennsylvania,57%,19%,5%,1%,18%,food & drink,(1/1/18 - 5/15/18),2018,usa
Illinois,51%,16%,2%,2%,29%,food & drink,(1/1/18 - 5/15/18),2018,usa
Tennessee,52%,13%,2%,<1%,33%,food & drink,(1/1/18 - 5/15/18),2018,usa
Maine,53%,24%,7%,,16%,food & drink,(1/1/18 - 5/15/18),2018,usa
Vermont,63%,19%,,,18%,food & drink,(1/1/18 - 5/15/18),2018,usa
Arizona,48%,16%,1%,2%,33%,food & drink,(1/1/18 - 5/15/18),2018,usa
New Mexico,51%,21%,9%,,19%,food & drink,(1/1/18 - 5/15/18),2018,usa
Colorado,44%,19%,2%,2%,33%,food & drink,(1/1/18 - 5/15/18),2018,usa
Kentucky,51%,18%,1%,,30%,food & drink,(1/1/18 - 5/15/18),2018,usa
West Virginia,56%,20%,,,24%,food & drink,(1/1/18 - 5/15/18),2018,usa
Ohio,52%,16%,2%,1%,29%,food & drink,(1/1/18 - 5/15/18),2018,usa
Michigan,45%,20%,2%,2%,31%,food & drink,(1/1/18 - 5/15/18),2018,usa
Alaska,68%,32%,,,,food & drink,(1/1/18 - 5/15/18),2018,usa
Missouri,38%,19%,3%,2%,38%,food & drink,(1/1/18 - 5/15/18),2018,usa
Indiana,47%,24%,2%,2%,25%,food & drink,(1/1/18 - 5/15/18),2018,usa
Minnesota,50%,22%,1%,3%,24%,food & drink,(1/1/18 - 5/15/18),2018,usa
Oklahoma,44%,18%,2%,,36%,food & drink,(1/1/18 - 5/15/18),2018,usa
Arkansas,38%,21%,2%,,39%,food & drink,(1/1/18 - 5/15/18),2018,usa
Wisconsin,43%,21%,2%,2%,32%,food & drink,(1/1/18 - 5/15/18),2018,usa
Kansas,44%,16%,,,40%,food & drink,(1/1/18 - 5/15/18),2018,usa
Montana,25%,50%,,,25%,food & drink,(1/1/18 - 5/15/18),2018,usa
Utah,36%,18%,2%,11%,33%,food & drink,(1/1/18 - 5/15/18),2018,usa
Nebraska,41%,22%,,5%,32%,food & drink,(1/1/18 - 5/15/18),2018,usa
Iowa,29%,25%,3%,7%,36%,food & drink,(1/1/18 - 5/15/18),2018,usa
South Dakota,100%,,,,,food & drink,(1/1/18 - 5/15/18),2018,usa
Idaho,40%,34%,,,26%,food & drink,(1/1/18 - 5/15/18),2018,usa
North Dakota,47%,53%,,,,food & drink,(1/1/18 - 5/15/18),2018,usa
Wyoming,,,,,,food & drink,(1/1/18 - 5/15/18),2018,usa
