Day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
1/1/20,63,4,35,1,27,food & drink,2020,usa
1/2/20,59,3,14,1,19,food & drink,2020,usa
1/3/20,65,3,18,3,18,food & drink,2020,usa
1/4/20,72,3,17,4,24,food & drink,2020,usa
1/5/20,67,3,25,4,22,food & drink,2020,usa
1/6/20,40,8,13,1,13,food & drink,2020,usa
1/7/20,45,3,11,0,15,food & drink,2020,usa
1/8/20,80,1,15,1,15,food & drink,2020,usa
1/9/20,54,4,13,1,20,food & drink,2020,usa
1/10/20,56,2,15,1,19,food & drink,2020,usa
1/11/20,76,4,20,0,26,food & drink,2020,usa
1/12/20,75,4,26,1,22,food & drink,2020,usa
1/13/20,35,9,12,2,15,food & drink,2020,usa
1/14/20,50,1,16,2,17,food & drink,2020,usa
1/15/20,40,1,10,1,8,food & drink,2020,usa
1/16/20,47,1,11,0,14,food & drink,2020,usa
1/17/20,51,3,13,1,17,food & drink,2020,usa
1/18/20,67,2,22,3,29,food & drink,2020,usa
1/19/20,69,4,24,2,26,food & drink,2020,usa
1/20/20,64,4,20,0,26,food & drink,2020,usa
1/21/20,47,3,12,1,17,food & drink,2020,usa
1/22/20,49,1,10,1,16,food & drink,2020,usa
1/23/20,46,2,11,2,13,food & drink,2020,usa
1/24/20,70,2,12,1,18,food & drink,2020,usa
1/25/20,86,4,16,2,21,food & drink,2020,usa
1/26/20,66,4,18,2,16,food & drink,2020,usa
1/27/20,40,4,10,2,15,food & drink,2020,usa
1/28/20,41,1,8,2,17,food & drink,2020,usa
1/29/20,41,1,10,1,13,food & drink,2020,usa
1/30/20,47,2,8,1,13,food & drink,2020,usa
1/31/20,60,2,14,1,17,food & drink,2020,usa
2/1/20,70,9,24,2,24,food & drink,2020,usa
2/2/20,52,1,22,3,22,food & drink,2020,usa
2/3/20,35,4,9,1,9,food & drink,2020,usa
2/4/20,39,2,12,1,12,food & drink,2020,usa
2/5/20,43,2,13,1,17,food & drink,2020,usa
2/6/20,47,4,11,1,16,food & drink,2020,usa
2/7/20,59,3,11,0,16,food & drink,2020,usa
2/8/20,82,5,20,2,23,food & drink,2020,usa
2/9/20,67,3,19,2,32,food & drink,2020,usa
2/10/20,41,5,12,1,15,food & drink,2020,usa
2/11/20,42,3,12,1,12,food & drink,2020,usa
2/12/20,50,2,13,0,14,food & drink,2020,usa
2/13/20,60,3,14,1,13,food & drink,2020,usa
2/14/20,100,5,24,2,23,food & drink,2020,usa
2/15/20,97,5,25,3,27,food & drink,2020,usa
2/16/20,89,4,25,4,30,food & drink,2020,usa
2/17/20,47,11,18,1,18,food & drink,2020,usa
2/18/20,36,6,11,1,16,food & drink,2020,usa
2/19/20,40,1,13,2,15,food & drink,2020,usa
2/20/20,45,2,12,1,14,food & drink,2020,usa
2/21/20,53,4,14,2,26,food & drink,2020,usa
2/22/20,80,3,21,2,25,food & drink,2020,usa
2/23/20,74,5,20,2,23,food & drink,2020,usa
2/24/20,45,3,13,2,16,food & drink,2020,usa
2/25/20,43,2,15,1,18,food & drink,2020,usa
2/26/20,39,2,15,3,15,food & drink,2020,usa
2/27/20,47,3,15,2,13,food & drink,2020,usa
2/28/20,71,2,17,1,14,food & drink,2020,usa
2/29/20,90,4,22,2,27,food & drink,2020,usa
