Day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
3/1/20,71,3,16,2,25,food & drink,2020,usa
3/2/20,46,6,9,1,14,food & drink,2020,usa
3/3/20,31,1,8,1,16,food & drink,2020,usa
3/4/20,49,3,7,1,17,food & drink,2020,usa
3/5/20,38,2,9,1,15,food & drink,2020,usa
3/6/20,68,5,12,1,17,food & drink,2020,usa
3/7/20,93,2,18,2,22,food & drink,2020,usa
3/8/20,71,4,18,2,23,food & drink,2020,usa
3/9/20,46,6,18,1,10,food & drink,2020,usa
3/10/20,38,2,11,1,12,food & drink,2020,usa
3/11/20,37,1,13,1,13,food & drink,2020,usa
3/12/20,39,2,9,2,12,food & drink,2020,usa
3/13/20,39,2,15,2,11,food & drink,2020,usa
3/14/20,54,4,12,3,17,food & drink,2020,usa
3/15/20,36,2,14,1,17,food & drink,2020,usa
3/16/20,25,5,7,2,9,food & drink,2020,usa
3/17/20,20,3,8,1,7,food & drink,2020,usa
3/18/20,20,3,11,2,9,food & drink,2020,usa
3/19/20,18,3,11,5,5,food & drink,2020,usa
3/20/20,20,3,11,5,12,food & drink,2020,usa
3/21/20,19,5,16,4,12,food & drink,2020,usa
3/22/20,19,4,16,3,10,food & drink,2020,usa
3/23/20,13,10,11,2,7,food & drink,2020,usa
3/24/20,13,3,10,3,11,food & drink,2020,usa
3/25/20,13,5,12,1,7,food & drink,2020,usa
3/26/20,16,6,10,3,7,food & drink,2020,usa
3/27/20,32,7,13,4,11,food & drink,2020,usa
3/28/20,27,8,24,5,15,food & drink,2020,usa
3/29/20,22,8,23,3,10,food & drink,2020,usa
3/30/20,13,9,13,3,9,food & drink,2020,usa
3/31/20,17,6,11,4,7,food & drink,2020,usa
4/1/20,13,5,15,2,9,food & drink,2020,usa
4/2/20,16,5,16,3,8,food & drink,2020,usa
4/3/20,26,7,19,5,11,food & drink,2020,usa
4/4/20,28,8,19,5,19,food & drink,2020,usa
4/5/20,22,7,26,5,11,food & drink,2020,usa
4/6/20,13,10,16,4,7,food & drink,2020,usa
4/7/20,19,8,22,4,10,food & drink,2020,usa
4/8/20,18,5,17,3,7,food & drink,2020,usa
4/9/20,22,6,22,3,11,food & drink,2020,usa
4/10/20,29,7,34,5,15,food & drink,2020,usa
4/11/20,34,11,40,5,16,food & drink,2020,usa
4/12/20,19,6,36,3,13,food & drink,2020,usa
4/13/20,15,9,15,4,6,food & drink,2020,usa
4/14/20,14,6,17,4,9,food & drink,2020,usa
4/15/20,19,6,19,4,7,food & drink,2020,usa
4/16/20,24,8,22,3,10,food & drink,2020,usa
4/17/20,31,9,19,4,14,food & drink,2020,usa
4/18/20,36,7,31,7,19,food & drink,2020,usa
4/19/20,29,7,38,2,16,food & drink,2020,usa
4/20/20,21,12,22,4,14,food & drink,2020,usa
4/21/20,17,6,21,3,13,food & drink,2020,usa
4/22/20,18,8,19,4,10,food & drink,2020,usa
4/23/20,22,5,21,3,11,food & drink,2020,usa
4/24/20,32,6,24,7,15,food & drink,2020,usa
4/25/20,40,8,41,8,15,food & drink,2020,usa
4/26/20,33,10,30,4,14,food & drink,2020,usa
4/27/20,18,8,18,4,8,food & drink,2020,usa
4/28/20,20,8,20,2,12,food & drink,2020,usa
4/29/20,20,2,16,2,9,food & drink,2020,usa
4/30/20,27,6,22,3,9,food & drink,2020,usa
5/1/20,36,8,25,3,15,food & drink,2020,usa
5/2/20,47,8,36,6,20,food & drink,2020,usa
5/3/20,45,9,30,5,16,food & drink,2020,usa
5/4/20,25,3,23,3,11,food & drink,2020,usa
5/5/20,28,8,20,4,9,food & drink,2020,usa
5/6/20,21,8,18,3,12,food & drink,2020,usa
5/7/20,32,6,21,5,11,food & drink,2020,usa
5/8/20,44,8,27,4,13,food & drink,2020,usa
5/9/20,56,7,55,6,20,food & drink,2020,usa
5/10/20,84,21,52,6,29,food & drink,2020,usa
5/11/20,29,4,23,4,11,food & drink,2020,usa
5/12/20,24,3,23,3,11,food & drink,2020,usa
5/13/20,23,5,17,0,9,food & drink,2020,usa
5/14/20,30,5,17,2,10,food & drink,2020,usa
5/15/20,32,5,22,4,15,food & drink,2020,usa
5/16/20,55,9,30,3,21,food & drink,2020,usa
5/17/20,43,7,28,2,17,food & drink,2020,usa
5/18/20,26,6,16,3,12,food & drink,2020,usa
5/19/20,28,4,14,2,10,food & drink,2020,usa
5/20/20,30,3,17,3,15,food & drink,2020,usa
5/21/20,28,4,19,2,15,food & drink,2020,usa
5/22/20,38,8,25,5,17,food & drink,2020,usa
5/23/20,56,6,32,3,25,food & drink,2020,usa
5/24/20,52,12,34,2,28,food & drink,2020,usa
5/25/20,45,3,35,2,23,food & drink,2020,usa
5/26/20,25,3,16,1,11,food & drink,2020,usa
5/27/20,33,4,14,2,11,food & drink,2020,usa
5/28/20,37,3,19,2,10,food & drink,2020,usa
5/29/20,43,4,25,5,15,food & drink,2020,usa
5/30/20,60,10,19,3,21,food & drink,2020,usa
5/31/20,51,11,27,5,26,food & drink,2020,usa
6/1/20,28,3,16,2,10,food & drink,2020,usa
6/2/20,35,6,16,1,13,food & drink,2020,usa
6/3/20,27,3,11,4,12,food & drink,2020,usa
6/4/20,42,4,15,2,15,food & drink,2020,usa
6/5/20,46,5,17,2,24,food & drink,2020,usa
6/6/20,56,6,27,2,28,food & drink,2020,usa
6/7/20,58,11,30,3,27,food & drink,2020,usa
6/8/20,42,6,22,0,16,food & drink,2020,usa
6/9/20,40,4,13,2,16,food & drink,2020,usa
6/10/20,39,4,15,3,12,food & drink,2020,usa
6/11/20,34,3,18,1,12,food & drink,2020,usa
6/12/20,57,5,18,2,23,food & drink,2020,usa
6/13/20,80,7,28,2,28,food & drink,2020,usa
6/14/20,63,12,40,5,34,food & drink,2020,usa
