Day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
1/1/19,41,3,29,0,17,food & drink,2019,usa
1/2/19,29,1,14,2,14,food & drink,2019,usa
1/3/19,31,1,11,0,9,food & drink,2019,usa
1/4/19,32,2,12,1,11,food & drink,2019,usa
1/5/19,46,1,18,1,19,food & drink,2019,usa
1/6/19,41,2,14,2,13,food & drink,2019,usa
1/7/19,24,2,8,1,10,food & drink,2019,usa
1/8/19,23,1,9,1,8,food & drink,2019,usa
1/9/19,28,0,10,1,9,food & drink,2019,usa
1/10/19,28,1,11,1,13,food & drink,2019,usa
1/11/19,37,3,9,1,13,food & drink,2019,usa
1/12/19,42,1,18,2,14,food & drink,2019,usa
1/13/19,38,4,14,1,14,food & drink,2019,usa
1/14/19,31,2,10,2,9,food & drink,2019,usa
1/15/19,25,3,8,1,11,food & drink,2019,usa
1/16/19,32,2,9,0,11,food & drink,2019,usa
1/17/19,29,1,10,3,9,food & drink,2019,usa
1/18/19,33,2,12,1,9,food & drink,2019,usa
1/19/19,54,2,22,2,15,food & drink,2019,usa
1/20/19,46,2,23,1,15,food & drink,2019,usa
1/21/19,35,2,10,0,10,food & drink,2019,usa
1/22/19,29,1,9,2,13,food & drink,2019,usa
1/23/19,31,1,6,1,9,food & drink,2019,usa
1/24/19,33,2,9,1,11,food & drink,2019,usa
1/25/19,37,3,9,3,14,food & drink,2019,usa
1/26/19,58,3,18,2,17,food & drink,2019,usa
1/27/19,48,2,21,1,14,food & drink,2019,usa
1/28/19,27,2,11,0,12,food & drink,2019,usa
1/29/19,30,1,10,0,9,food & drink,2019,usa
1/30/19,23,3,13,1,9,food & drink,2019,usa
1/31/19,31,1,8,0,12,food & drink,2019,usa
2/1/19,35,2,11,1,13,food & drink,2019,usa
2/2/19,61,2,17,3,18,food & drink,2019,usa
2/3/19,39,3,19,1,12,food & drink,2019,usa
2/4/19,25,2,7,1,10,food & drink,2019,usa
2/5/19,30,2,7,1,11,food & drink,2019,usa
2/6/19,29,2,10,1,9,food & drink,2019,usa
2/7/19,30,1,8,1,13,food & drink,2019,usa
2/8/19,38,1,10,1,11,food & drink,2019,usa
2/9/19,63,3,11,2,17,food & drink,2019,usa
2/10/19,50,2,14,2,17,food & drink,2019,usa
2/11/19,26,1,10,1,10,food & drink,2019,usa
2/12/19,30,1,10,1,8,food & drink,2019,usa
2/13/19,39,1,9,1,14,food & drink,2019,usa
2/14/19,54,2,16,1,13,food & drink,2019,usa
2/15/19,50,2,10,1,16,food & drink,2019,usa
2/16/19,65,3,16,3,26,food & drink,2019,usa
2/17/19,56,3,12,2,22,food & drink,2019,usa
2/18/19,29,2,8,1,15,food & drink,2019,usa
2/19/19,31,2,7,1,9,food & drink,2019,usa
2/20/19,28,2,7,1,8,food & drink,2019,usa
2/21/19,33,2,8,1,13,food & drink,2019,usa
2/22/19,37,2,7,2,14,food & drink,2019,usa
2/23/19,59,1,13,2,24,food & drink,2019,usa
2/24/19,51,3,17,1,17,food & drink,2019,usa
2/25/19,32,2,8,1,8,food & drink,2019,usa
2/26/19,30,1,8,1,15,food & drink,2019,usa
2/27/19,29,2,7,1,12,food & drink,2019,usa
2/28/19,33,2,5,1,12,food & drink,2019,usa
3/1/19,49,2,9,2,13,food & drink,2019,usa
3/2/19,64,3,17,2,17,food & drink,2019,usa
3/3/19,49,4,20,1,18,food & drink,2019,usa
3/4/19,26,2,9,1,10,food & drink,2019,usa
3/5/19,24,1,12,1,12,food & drink,2019,usa
3/6/19,32,2,13,1,12,food & drink,2019,usa
3/7/19,34,1,10,1,10,food & drink,2019,usa
3/8/19,51,3,13,1,16,food & drink,2019,usa
3/9/19,63,4,11,1,21,food & drink,2019,usa
3/10/19,58,2,14,3,21,food & drink,2019,usa
3/11/19,35,2,10,1,10,food & drink,2019,usa
3/12/19,33,2,9,1,10,food & drink,2019,usa
3/13/19,33,1,8,1,10,food & drink,2019,usa
3/14/19,34,2,10,1,10,food & drink,2019,usa
3/15/19,49,2,13,1,13,food & drink,2019,usa
3/16/19,63,3,12,1,23,food & drink,2019,usa
3/17/19,52,5,14,1,21,food & drink,2019,usa
3/18/19,39,2,11,1,16,food & drink,2019,usa
3/19/19,32,1,5,1,13,food & drink,2019,usa
3/20/19,30,1,7,1,13,food & drink,2019,usa
3/21/19,34,1,8,3,10,food & drink,2019,usa
3/22/19,55,2,11,1,13,food & drink,2019,usa
3/23/19,65,3,11,0,22,food & drink,2019,usa
3/24/19,64,3,12,2,19,food & drink,2019,usa
3/25/19,33,1,10,1,8,food & drink,2019,usa
3/26/19,28,1,6,1,10,food & drink,2019,usa
3/27/19,37,2,11,1,12,food & drink,2019,usa
3/28/19,40,2,7,1,8,food & drink,2019,usa
3/29/19,41,2,10,1,15,food & drink,2019,usa
3/30/19,68,2,10,2,21,food & drink,2019,usa
3/31/19,46,3,9,1,21,food & drink,2019,usa
4/1/19,30,2,10,1,9,food & drink,2019,usa
4/2/19,38,2,10,1,14,food & drink,2019,usa
4/3/19,29,1,7,0,12,food & drink,2019,usa
4/4/19,31,1,9,2,11,food & drink,2019,usa
4/5/19,49,2,8,3,15,food & drink,2019,usa
4/6/19,57,3,11,2,22,food & drink,2019,usa
4/7/19,52,3,12,1,17,food & drink,2019,usa
4/8/19,31,1,9,2,11,food & drink,2019,usa
4/9/19,35,1,10,1,10,food & drink,2019,usa
4/10/19,34,2,5,0,9,food & drink,2019,usa
