Day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
1/1/18,37,2,29,1,16,food & drink,2018,usa
1/2/18,25,1,15,1,10,food & drink,2018,usa
1/3/18,30,1,11,1,8,food & drink,2018,usa
1/4/18,29,1,14,1,10,food & drink,2018,usa
1/5/18,36,2,13,2,11,food & drink,2018,usa
1/6/18,45,2,20,3,16,food & drink,2018,usa
1/7/18,46,3,18,1,14,food & drink,2018,usa
1/8/18,18,1,10,1,7,food & drink,2018,usa
1/9/18,25,1,13,1,9,food & drink,2018,usa
1/10/18,23,0,9,2,12,food & drink,2018,usa
1/11/18,28,2,9,2,11,food & drink,2018,usa
1/12/18,36,1,12,2,14,food & drink,2018,usa
1/13/18,48,1,17,1,20,food & drink,2018,usa
1/14/18,43,4,21,2,17,food & drink,2018,usa
1/15/18,32,2,10,4,15,food & drink,2018,usa
1/16/18,26,1,13,1,4,food & drink,2018,usa
1/17/18,23,1,9,1,10,food & drink,2018,usa
1/18/18,26,1,8,1,9,food & drink,2018,usa
1/19/18,34,2,7,1,14,food & drink,2018,usa
1/20/18,50,2,13,4,20,food & drink,2018,usa
1/21/18,44,3,10,3,17,food & drink,2018,usa
1/22/18,26,1,9,0,9,food & drink,2018,usa
1/23/18,22,2,9,2,12,food & drink,2018,usa
1/24/18,31,1,6,1,11,food & drink,2018,usa
1/25/18,27,1,9,1,11,food & drink,2018,usa
1/26/18,42,2,11,1,10,food & drink,2018,usa
1/27/18,51,2,14,1,20,food & drink,2018,usa
1/28/18,46,1,18,1,18,food & drink,2018,usa
1/29/18,20,1,8,1,9,food & drink,2018,usa
1/30/18,24,1,8,1,11,food & drink,2018,usa
1/31/18,30,1,7,1,9,food & drink,2018,usa
2/1/18,25,1,9,1,8,food & drink,2018,usa
2/2/18,35,2,12,1,9,food & drink,2018,usa
2/3/18,55,2,19,2,15,food & drink,2018,usa
2/4/18,34,1,19,2,18,food & drink,2018,usa
2/5/18,20,0,9,1,7,food & drink,2018,usa
2/6/18,28,2,9,1,10,food & drink,2018,usa
2/7/18,31,2,13,1,7,food & drink,2018,usa
2/8/18,36,3,10,1,15,food & drink,2018,usa
2/9/18,33,3,9,1,9,food & drink,2018,usa
2/10/18,65,3,12,2,19,food & drink,2018,usa
2/11/18,49,1,18,1,16,food & drink,2018,usa
2/12/18,29,2,10,1,9,food & drink,2018,usa
2/13/18,39,2,19,0,12,food & drink,2018,usa
2/14/18,58,2,17,1,13,food & drink,2018,usa
2/15/18,42,1,11,1,11,food & drink,2018,usa
2/16/18,47,2,12,2,14,food & drink,2018,usa
2/17/18,61,4,15,2,23,food & drink,2018,usa
2/18/18,56,1,17,2,19,food & drink,2018,usa
2/19/18,38,1,12,2,14,food & drink,2018,usa
2/20/18,27,1,8,2,8,food & drink,2018,usa
2/21/18,27,1,12,3,9,food & drink,2018,usa
2/22/18,29,2,9,1,8,food & drink,2018,usa
2/23/18,43,0,13,2,17,food & drink,2018,usa
2/24/18,68,3,11,4,16,food & drink,2018,usa
2/25/18,55,2,12,2,20,food & drink,2018,usa
2/26/18,28,2,7,1,10,food & drink,2018,usa
2/27/18,28,2,9,1,8,food & drink,2018,usa
2/28/18,31,1,7,1,10,food & drink,2018,usa
3/1/18,26,0,6,1,8,food & drink,2018,usa
3/2/18,41,1,11,2,9,food & drink,2018,usa
3/3/18,57,2,8,2,21,food & drink,2018,usa
3/4/18,51,2,14,2,21,food & drink,2018,usa
3/5/18,28,1,7,1,10,food & drink,2018,usa
3/6/18,27,1,9,1,9,food & drink,2018,usa
3/7/18,27,2,11,1,9,food & drink,2018,usa
3/8/18,30,1,10,0,9,food & drink,2018,usa
3/9/18,44,1,14,1,12,food & drink,2018,usa
3/10/18,50,3,15,0,22,food & drink,2018,usa
3/11/18,46,3,15,2,16,food & drink,2018,usa
3/12/18,30,1,9,1,9,food & drink,2018,usa
3/13/18,31,1,6,1,12,food & drink,2018,usa
3/14/18,24,1,6,1,10,food & drink,2018,usa
3/15/18,34,1,7,0,7,food & drink,2018,usa
3/16/18,44,2,10,2,12,food & drink,2018,usa
3/17/18,64,3,9,2,19,food & drink,2018,usa
3/18/18,43,1,11,2,14,food & drink,2018,usa
3/19/18,31,3,5,1,10,food & drink,2018,usa
3/20/18,22,1,7,1,12,food & drink,2018,usa
3/21/18,21,2,7,0,11,food & drink,2018,usa
3/22/18,30,1,7,1,7,food & drink,2018,usa
3/23/18,35,2,7,2,13,food & drink,2018,usa
3/24/18,58,3,13,3,19,food & drink,2018,usa
3/25/18,48,2,17,3,22,food & drink,2018,usa
3/26/18,26,3,6,3,9,food & drink,2018,usa
3/27/18,33,1,9,2,9,food & drink,2018,usa
3/28/18,35,1,6,1,7,food & drink,2018,usa
3/29/18,35,2,12,1,9,food & drink,2018,usa
3/30/18,52,2,13,4,16,food & drink,2018,usa
3/31/18,57,3,9,3,19,food & drink,2018,usa
4/1/18,47,1,8,1,21,food & drink,2018,usa
4/2/18,24,1,5,1,9,food & drink,2018,usa
4/3/18,28,2,5,2,11,food & drink,2018,usa
4/4/18,29,2,6,3,13,food & drink,2018,usa
4/5/18,29,2,5,1,13,food & drink,2018,usa
4/6/18,46,2,6,2,12,food & drink,2018,usa
4/7/18,47,3,12,1,16,food & drink,2018,usa
4/8/18,45,1,13,2,20,food & drink,2018,usa
4/9/18,21,0,7,2,11,food & drink,2018,usa
4/10/18,24,2,5,1,11,food & drink,2018,usa
4/11/18,30,2,7,2,9,food & drink,2018,usa
4/12/18,25,1,8,2,14,food & drink,2018,usa
4/13/18,39,2,8,1,15,food & drink,2018,usa
4/14/18,59,3,12,0,19,food & drink,2018,usa
4/15/18,39,4,13,1,20,food & drink,2018,usa
4/16/18,25,2,10,1,9,food & drink,2018,usa
4/17/18,30,2,5,0,12,food & drink,2018,usa
4/18/18,26,1,6,1,12,food & drink,2018,usa
4/19/18,31,2,7,1,13,food & drink,2018,usa
4/20/18,36,1,8,2,14,food & drink,2018,usa
4/21/18,54,1,10,1,21,food & drink,2018,usa
4/22/18,45,1,8,1,16,food & drink,2018,usa
4/23/18,23,2,6,2,10,food & drink,2018,usa
4/24/18,21,1,6,0,10,food & drink,2018,usa
4/25/18,26,1,7,1,6,food & drink,2018,usa
4/26/18,26,1,7,0,9,food & drink,2018,usa
4/27/18,40,1,9,0,14,food & drink,2018,usa
4/28/18,75,3,9,3,17,food & drink,2018,usa
4/29/18,52,2,12,2,18,food & drink,2018,usa
4/30/18,34,2,6,1,11,food & drink,2018,usa
5/1/18,29,1,5,1,9,food & drink,2018,usa
5/2/18,30,1,6,0,10,food & drink,2018,usa
5/3/18,36,1,5,3,12,food & drink,2018,usa
5/4/18,41,1,5,2,7,food & drink,2018,usa
5/5/18,62,4,8,2,20,food & drink,2018,usa
5/6/18,55,2,13,2,16,food & drink,2018,usa
5/7/18,34,1,9,1,14,food & drink,2018,usa
5/8/18,38,1,8,3,10,food & drink,2018,usa
5/9/18,40,0,9,0,10,food & drink,2018,usa
5/10/18,37,2,7,0,12,food & drink,2018,usa
5/11/18,51,2,8,1,12,food & drink,2018,usa
5/12/18,91,2,11,2,21,food & drink,2018,usa
5/13/18,100,3,21,3,19,food & drink,2018,usa
5/14/18,34,3,6,1,11,food & drink,2018,usa
5/15/18,36,1,6,2,10,food & drink,2018,usa
5/16/18,28,1,8,0,10,food & drink,2018,usa
5/17/18,29,2,10,1,10,food & drink,2018,usa
5/18/18,52,3,8,1,14,food & drink,2018,usa
5/19/18,67,1,11,1,16,food & drink,2018,usa
5/20/18,51,1,12,2,15,food & drink,2018,usa
