Day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
5/21/18,38,2,6,1,10,food & drink,2018,usa
5/22/18,36,1,5,2,13,food & drink,2018,usa
5/23/18,27,2,6,1,11,food & drink,2018,usa
5/24/18,41,2,6,1,15,food & drink,2018,usa
5/25/18,53,3,9,1,14,food & drink,2018,usa
5/26/18,76,1,12,3,19,food & drink,2018,usa
5/27/18,85,3,15,2,24,food & drink,2018,usa
5/28/18,49,1,14,1,26,food & drink,2018,usa
5/29/18,32,2,8,0,13,food & drink,2018,usa
5/30/18,35,2,7,0,10,food & drink,2018,usa
5/31/18,41,1,5,1,9,food & drink,2018,usa
6/1/18,48,1,9,2,15,food & drink,2018,usa
6/2/18,81,4,9,1,17,food & drink,2018,usa
6/3/18,72,0,11,2,18,food & drink,2018,usa
6/4/18,34,2,6,1,11,food & drink,2018,usa
6/5/18,46,3,6,2,12,food & drink,2018,usa
6/6/18,34,1,6,2,12,food & drink,2018,usa
6/7/18,36,3,5,0,14,food & drink,2018,usa
6/8/18,41,2,7,2,11,food & drink,2018,usa
6/9/18,66,2,11,1,13,food & drink,2018,usa
6/10/18,71,2,12,2,17,food & drink,2018,usa
6/11/18,42,1,10,1,14,food & drink,2018,usa
6/12/18,38,1,7,1,12,food & drink,2018,usa
6/13/18,43,1,8,2,11,food & drink,2018,usa
6/14/18,42,3,9,0,11,food & drink,2018,usa
6/15/18,52,1,5,1,16,food & drink,2018,usa
