Region,seafood restaurant,seafood recipe,seafood delivery,sushi take out,bbq restaurant,category,date_range,year,country
Louisiana,80%,12%,1%,1%,6%,food & drink, (1/1/16 - 5/15/16),2016,usa
South Carolina,74%,9%,1%,<1%,16%,food & drink, (1/1/16 - 5/15/16),2016,usa
Florida,74%,10%,1%,1%,14%,food & drink, (1/1/16 - 5/15/16),2016,usa
Hawaii,71%,9%,2%,1%,17%,food & drink, (1/1/16 - 5/15/16),2016,usa
District of Columbia,70%,16%,3%,,11%,food & drink, (1/1/16 - 5/15/16),2016,usa
North Carolina,71%,8%,1%,1%,19%,food & drink, (1/1/16 - 5/15/16),2016,usa
Georgia,68%,10%,1%,<1%,21%,food & drink, (1/1/16 - 5/15/16),2016,usa
Maryland,70%,15%,2%,1%,12%,food & drink, (1/1/16 - 5/15/16),2016,usa
Virginia,72%,11%,2%,1%,14%,food & drink, (1/1/16 - 5/15/16),2016,usa
Mississippi,68%,18%,1%,,13%,food & drink, (1/1/16 - 5/15/16),2016,usa
Delaware,70%,11%,4%,,15%,food & drink, (1/1/16 - 5/15/16),2016,usa
Massachusetts,68%,13%,3%,2%,14%,food & drink, (1/1/16 - 5/15/16),2016,usa
Alabama,64%,12%,2%,,22%,food & drink, (1/1/16 - 5/15/16),2016,usa
Texas,62%,13%,1%,<1%,24%,food & drink, (1/1/16 - 5/15/16),2016,usa
California,61%,9%,1%,2%,27%,food & drink, (1/1/16 - 5/15/16),2016,usa
Maine,62%,15%,3%,,20%,food & drink, (1/1/16 - 5/15/16),2016,usa
Connecticut,58%,20%,2%,2%,18%,food & drink, (1/1/16 - 5/15/16),2016,usa
New York,58%,13%,1%,2%,26%,food & drink, (1/1/16 - 5/15/16),2016,usa
New Jersey,60%,14%,2%,2%,22%,food & drink, (1/1/16 - 5/15/16),2016,usa
Rhode Island,57%,25%,6%,,12%,food & drink, (1/1/16 - 5/15/16),2016,usa
Washington,64%,10%,2%,3%,21%,food & drink, (1/1/16 - 5/15/16),2016,usa
New Hampshire,64%,18%,7%,,11%,food & drink, (1/1/16 - 5/15/16),2016,usa
Illinois,58%,11%,1%,2%,28%,food & drink, (1/1/16 - 5/15/16),2016,usa
Nevada,52%,13%,3%,2%,30%,food & drink, (1/1/16 - 5/15/16),2016,usa
Pennsylvania,59%,19%,4%,1%,17%,food & drink, (1/1/16 - 5/15/16),2016,usa
Oregon,58%,19%,2%,2%,19%,food & drink, (1/1/16 - 5/15/16),2016,usa
Arizona,56%,11%,1%,4%,28%,food & drink, (1/1/16 - 5/15/16),2016,usa
Tennessee,49%,13%,1%,2%,35%,food & drink, (1/1/16 - 5/15/16),2016,usa
Arkansas,47%,16%,,,37%,food & drink, (1/1/16 - 5/15/16),2016,usa
Colorado,48%,16%,3%,2%,31%,food & drink, (1/1/16 - 5/15/16),2016,usa
Ohio,57%,15%,2%,1%,25%,food & drink, (1/1/16 - 5/15/16),2016,usa
Michigan,51%,14%,2%,1%,32%,food & drink, (1/1/16 - 5/15/16),2016,usa
New Mexico,51%,15%,4%,,30%,food & drink, (1/1/16 - 5/15/16),2016,usa
Alaska,57%,43%,,,,food & drink, (1/1/16 - 5/15/16),2016,usa
Missouri,40%,16%,2%,5%,37%,food & drink, (1/1/16 - 5/15/16),2016,usa
Vermont,51%,16%,,,33%,food & drink, (1/1/16 - 5/15/16),2016,usa
Kentucky,52%,15%,5%,,28%,food & drink, (1/1/16 - 5/15/16),2016,usa
Indiana,50%,16%,1%,,33%,food & drink, (1/1/16 - 5/15/16),2016,usa
Wisconsin,54%,18%,1%,1%,26%,food & drink, (1/1/16 - 5/15/16),2016,usa
Kansas,29%,16%,5%,,50%,food & drink, (1/1/16 - 5/15/16),2016,usa
Minnesota,44%,21%,4%,4%,27%,food & drink, (1/1/16 - 5/15/16),2016,usa
Oklahoma,44%,17%,3%,,36%,food & drink, (1/1/16 - 5/15/16),2016,usa
Utah,42%,7%,9%,6%,36%,food & drink, (1/1/16 - 5/15/16),2016,usa
Iowa,47%,16%,,5%,32%,food & drink, (1/1/16 - 5/15/16),2016,usa
Montana,38%,35%,,,27%,food & drink, (1/1/16 - 5/15/16),2016,usa
West Virginia,43%,26%,,,31%,food & drink, (1/1/16 - 5/15/16),2016,usa
North Dakota,67%,33%,,,,food & drink, (1/1/16 - 5/15/16),2016,usa
South Dakota,100%,,,,,food & drink, (1/1/16 - 5/15/16),2016,usa
Idaho,45%,29%,,,26%,food & drink, (1/1/16 - 5/15/16),2016,usa
Nebraska,38%,30%,7%,7%,18%,food & drink, (1/1/16 - 5/15/16),2016,usa
Wyoming,,,,,,food & drink, (1/1/16 - 5/15/16),2016,usa
