Day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
4/27/17,46,2,4,1,12,food & drink,2017,usa
4/28/17,55,1,8,3,20,food & drink,2017,usa
4/29/17,85,3,17,3,23,food & drink,2017,usa
4/30/17,73,5,17,2,20,food & drink,2017,usa
5/1/17,53,0,8,1,14,food & drink,2017,usa
5/2/17,38,1,8,1,15,food & drink,2017,usa
5/3/17,37,3,7,2,16,food & drink,2017,usa
5/4/17,42,2,16,0,17,food & drink,2017,usa
5/5/17,43,0,4,1,16,food & drink,2017,usa
5/6/17,83,2,18,2,28,food & drink,2017,usa
5/7/17,63,2,12,2,17,food & drink,2017,usa
5/8/17,39,3,11,1,12,food & drink,2017,usa
5/9/17,33,0,11,3,15,food & drink,2017,usa
5/10/17,45,1,9,0,12,food & drink,2017,usa
5/11/17,51,2,11,1,13,food & drink,2017,usa
5/12/17,57,6,10,0,17,food & drink,2017,usa
5/13/17,96,4,13,3,26,food & drink,2017,usa
5/14/17,100,4,30,6,37,food & drink,2017,usa
5/15/17,45,0,8,2,13,food & drink,2017,usa
5/16/17,44,0,11,2,19,food & drink,2017,usa
5/17/17,43,2,8,3,15,food & drink,2017,usa
5/18/17,37,2,8,2,12,food & drink,2017,usa
5/19/17,76,2,11,2,18,food & drink,2017,usa
5/20/17,79,2,13,4,24,food & drink,2017,usa
5/21/17,69,3,16,0,22,food & drink,2017,usa
5/22/17,49,2,12,2,13,food & drink,2017,usa
5/23/17,39,0,9,3,13,food & drink,2017,usa
5/24/17,32,3,5,2,9,food & drink,2017,usa
5/25/17,43,5,12,0,13,food & drink,2017,usa
5/26/17,61,2,10,2,20,food & drink,2017,usa
5/27/17,78,2,7,2,28,food & drink,2017,usa
5/28/17,87,4,14,2,34,food & drink,2017,usa
5/29/17,69,2,14,0,34,food & drink,2017,usa
5/30/17,38,2,10,0,14,food & drink,2017,usa
5/31/17,51,1,8,1,18,food & drink,2017,usa
6/1/17,43,0,7,2,17,food & drink,2017,usa
6/2/17,53,3,9,2,19,food & drink,2017,usa
6/3/17,67,4,19,2,18,food & drink,2017,usa
6/4/17,80,0,8,3,30,food & drink,2017,usa
6/5/17,47,2,11,2,15,food & drink,2017,usa
6/6/17,38,3,7,3,21,food & drink,2017,usa
6/7/17,56,2,5,3,14,food & drink,2017,usa
6/8/17,56,3,10,3,13,food & drink,2017,usa
6/9/17,67,3,12,3,15,food & drink,2017,usa
6/10/17,90,4,11,2,24,food & drink,2017,usa
6/11/17,79,5,21,0,36,food & drink,2017,usa
6/12/17,57,2,11,5,23,food & drink,2017,usa
6/13/17,59,4,10,6,19,food & drink,2017,usa
6/14/17,66,0,8,2,22,food & drink,2017,usa
6/15/17,51,0,7,2,25,food & drink,2017,usa
