Day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
1/1/16,47,0,24,2,24,food & drink,2016,usa
1/2/16,47,2,29,0,24,food & drink,2016,usa
1/3/16,48,2,11,0,22,food & drink,2016,usa
1/4/16,30,2,10,5,9,food & drink,2016,usa
1/5/16,22,2,8,0,12,food & drink,2016,usa
1/6/16,31,2,11,0,10,food & drink,2016,usa
1/7/16,29,5,16,2,11,food & drink,2016,usa
1/8/16,43,4,10,2,14,food & drink,2016,usa
1/9/16,66,2,15,4,20,food & drink,2016,usa
1/10/16,42,3,17,3,10,food & drink,2016,usa
1/11/16,33,3,15,0,8,food & drink,2016,usa
1/12/16,33,0,12,2,9,food & drink,2016,usa
1/13/16,29,0,10,2,12,food & drink,2016,usa
1/14/16,37,0,7,1,19,food & drink,2016,usa
1/15/16,42,0,15,3,13,food & drink,2016,usa
1/16/16,53,3,19,4,17,food & drink,2016,usa
1/17/16,40,4,14,2,15,food & drink,2016,usa
1/18/16,31,2,16,3,10,food & drink,2016,usa
1/19/16,33,0,7,3,15,food & drink,2016,usa
1/20/16,28,0,13,2,9,food & drink,2016,usa
1/21/16,33,2,11,2,13,food & drink,2016,usa
1/22/16,33,2,13,2,11,food & drink,2016,usa
1/23/16,53,4,16,4,16,food & drink,2016,usa
1/24/16,39,2,21,4,22,food & drink,2016,usa
1/25/16,25,3,8,0,14,food & drink,2016,usa
1/26/16,32,0,9,2,10,food & drink,2016,usa
1/27/16,31,2,10,2,14,food & drink,2016,usa
1/28/16,27,2,9,2,16,food & drink,2016,usa
1/29/16,40,2,9,4,22,food & drink,2016,usa
1/30/16,66,3,13,3,40,food & drink,2016,usa
1/31/16,46,0,13,3,26,food & drink,2016,usa
2/1/16,24,2,7,2,13,food & drink,2016,usa
2/2/16,41,3,13,1,16,food & drink,2016,usa
2/3/16,37,0,11,2,15,food & drink,2016,usa
2/4/16,25,3,11,2,8,food & drink,2016,usa
2/5/16,44,2,9,0,7,food & drink,2016,usa
2/6/16,58,2,22,2,19,food & drink,2016,usa
2/7/16,39,5,19,2,19,food & drink,2016,usa
2/8/16,31,0,7,1,17,food & drink,2016,usa
2/9/16,39,2,14,0,7,food & drink,2016,usa
2/10/16,36,5,11,3,20,food & drink,2016,usa
2/11/16,51,3,9,0,15,food & drink,2016,usa
2/12/16,72,3,15,2,14,food & drink,2016,usa
2/13/16,96,2,24,2,18,food & drink,2016,usa
2/14/16,97,4,37,5,24,food & drink,2016,usa
2/15/16,50,2,9,2,20,food & drink,2016,usa
2/16/16,37,3,13,1,12,food & drink,2016,usa
2/17/16,45,5,7,0,11,food & drink,2016,usa
2/18/16,44,2,8,2,11,food & drink,2016,usa
2/19/16,55,2,16,4,13,food & drink,2016,usa
2/20/16,73,4,21,2,21,food & drink,2016,usa
2/21/16,51,0,11,4,15,food & drink,2016,usa
2/22/16,38,2,14,3,12,food & drink,2016,usa
2/23/16,38,0,11,0,8,food & drink,2016,usa
2/24/16,36,1,10,1,15,food & drink,2016,usa
2/25/16,42,2,11,3,15,food & drink,2016,usa
2/26/16,56,3,9,3,13,food & drink,2016,usa
2/27/16,83,2,16,2,21,food & drink,2016,usa
2/28/16,67,0,18,3,30,food & drink,2016,usa
2/29/16,34,0,14,3,10,food & drink,2016,usa
3/1/16,31,3,7,0,9,food & drink,2016,usa
3/2/16,30,1,8,1,13,food & drink,2016,usa
3/3/16,36,0,10,2,8,food & drink,2016,usa
3/4/16,54,7,11,0,10,food & drink,2016,usa
3/5/16,69,2,16,4,26,food & drink,2016,usa
3/6/16,58,4,17,2,19,food & drink,2016,usa
3/7/16,30,0,8,3,8,food & drink,2016,usa
3/8/16,33,2,10,2,14,food & drink,2016,usa
