Week,Pounds,Year,MonthWeek,Species
07/08-07/14,332699.00,2017,8-Jul,sablefish
07/15-07/22,464514.00,2017,15-Jul,sablefish
07/23-07/31,328812.00,2017,23-Jul,sablefish
08/01-08/07,594783.00,2017,1-Aug,sablefish
08/08-08/14,376866.00,2017,8-Aug,sablefish
08/15-08/22,359740.00,2017,15-Aug,sablefish
08/23-08/31,411858.00,2017,23-Aug,sablefish
09/01-09/07,272272.00,2017,1-Sep,sablefish
09/08-09/14,616585.00,2017,8-Sep,sablefish
09/15-09/22,490269.00,2017,15-Sep,sablefish
09/23-09/30,740269.00,2017,23-Sep,sablefish
10/01-10/07,606173.00,2017,1-Oct,sablefish
10/08-10/14,413135.00,2017,8-Oct,sablefish
10/15-10/22,666064.00,2017,15-Oct,sablefish
10/23-10/31,655474.00,2017,23-Oct,sablefish
11/01-11/07,518893.00,2017,1-Nov,sablefish
11/08-11/14,89885.00,2017,8-Nov,sablefish
11/15-12/31,20631.00,2017,15-Nov,sablefish
03/23-03/31,568507.00,2018,23-Mar,sablefish
04/01-04/07,1058740.00,2018,1-Apr,sablefish
04/08-04/14,598944.00,2018,8-Apr,sablefish
04/15-04/22,1176777.00,2018,15-Apr,sablefish
04/23-04/30,978017.00,2018,23-Apr,sablefish
05/01-05/07,1045526.00,2018,1-May,sablefish
05/08-05/14,978400.00,2018,8-May,sablefish
05/15-05/22,1057485.00,2018,15-May,sablefish
05/23-05/31,839657.00,2018,23-May,sablefish
06/01-06/07,803014.00,2018,1-Jun,sablefish
06/08-06/14,492280.00,2018,8-Jun,sablefish
06/15-06/22,357977.00,2018,15-Jun,sablefish
06/23-06/30,689028.00,2018,23-Jun,sablefish
07/01-07/07,221913.00,2018,1-Jul,sablefish
07/08-07/14,151081.00,2018,8-Jul,sablefish
07/15-07/22,276566.00,2018,15-Jul,sablefish
07/23-07/31,580792.00,2018,23-Jul,sablefish
08/01-08/07,258715.00,2018,1-Aug,sablefish
08/08-08/14,518654.00,2018,8-Aug,sablefish
08/15-08/22,468792.00,2018,15-Aug,sablefish
08/23-08/31,843076.00,2018,23-Aug,sablefish
09/01-09/07,617596.00,2018,1-Sep,sablefish
09/08-09/14,1062447.00,2018,8-Sep,sablefish
09/15-09/22,1108548.00,2018,15-Sep,sablefish
09/23-09/30,780368.00,2018,23-Sep,sablefish
10/01-10/07,511522.00,2018,1-Oct,sablefish
10/08-10/14,607194.00,2018,8-Oct,sablefish
10/15-10/22,643659.00,2018,15-Oct,sablefish
10/23-10/31,431211.00,2018,23-Oct,sablefish
11/01-11/07,755106.00,2018,1-Nov,sablefish
11/08-11/14,319634.00,2018,8-Nov,sablefish
03/15-03/22,168100.00,2019,15-Mar,sablefish
03/23-03/31,1249787.00,2019,23-Mar,sablefish
04/01-04/07,931724.00,2019,1-Apr,sablefish
04/08-04/14,432084.00,2019,8-Apr,sablefish
04/15-04/22,808394.00,2019,15-Apr,sablefish
04/23-04/30,1108196.00,2019,23-Apr,sablefish
05/01-05/07,1042026.00,2019,1-May,sablefish
05/08-05/14,850480.00,2019,8-May,sablefish
05/15-05/22,1387911.00,2019,15-May,sablefish
05/23-05/31,1002692.00,2019,23-May,sablefish
06/01-06/07,686752.00,2019,1-Jun,sablefish
06/08-06/14,485583.00,2019,8-Jun,sablefish
06/15-06/22,714829.00,2019,15-Jun,sablefish
06/23-06/30,375539.00,2019,23-Jun,sablefish
07/01-07/07,192810.00,2019,1-Jul,sablefish
07/08-07/14,325979.00,2019,8-Jul,sablefish
07/15-07/22,281839.00,2019,15-Jul,sablefish
07/23-07/31,443836.00,2019,23-Jul,sablefish
08/01-08/07,363781.00,2019,1-Aug,sablefish
08/08-08/14,335165.00,2019,8-Aug,sablefish
08/15-08/22,597263.00,2019,15-Aug,sablefish
08/23-08/31,655788.00,2019,23-Aug,sablefish
09/01-09/07,415786.00,2019,1-Sep,sablefish
09/08-09/14,584664.00,2019,8-Sep,sablefish
09/15-09/22,705322.00,2019,15-Sep,sablefish
09/23-09/30,705781.00,2019,23-Sep,sablefish
10/01-10/07,734866.00,2019,1-Oct,sablefish
10/08-10/14,482830.00,2019,8-Oct,sablefish
10/15-10/22,554388.00,2019,15-Oct,sablefish
10/23-10/31,1050044.00,2019,23-Oct,sablefish
11/01-11/07,692618.00,2019,1-Nov,sablefish
11/08-11/14,609693.00,2019,8-Nov,sablefish
11/15-12/31,574252.00,2019,15-Nov,sablefish
03/15-03/22,802129.00,2020,15-Mar,sablefish
03/23-03/31,642406.00,2020,23-Mar,sablefish
04/01-04/07,1051332.00,2020,1-Apr,sablefish
04/08-04/14,163604.00,2020,8-Apr,sablefish
04/15-04/22,1311797.00,2020,15-Apr,sablefish
04/23-04/30,646941.00,2020,23-Apr,sablefish
05/01-05/07,1003928.00,2020,1-May,sablefish
05/08-05/14,500209.00,2020,8-May,sablefish
05/15-05/22,1055037.00,2020,17-May,sablefish
